title,gross,net,url
Detalhes da remuneração GCM 71 referente a 3/2020,"R$ 4.035,10","R$ 3.763,33",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_71_detalhes.html
Detalhes da remuneração GCM 72 referente a 3/2020,"R$ 2.927,69","R$ 2.865,13",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_72_detalhes.html
Detalhes da remuneração GCM 70 referente a 3/2020,"R$ 4.035,10","R$ 4.031,93",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_70_detalhes.html
Detalhes da remuneração GCM 69 referente a 3/2020,"R$ 2.927,69","R$ 2.843,34",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_69_detalhes.html
Detalhes da remuneração GCM 68 referente a 3/2020,"R$ 4.035,10","R$ 3.898,39",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_68_detalhes.html
Detalhes da remuneração GCM 67 referente a 3/2020,"R$ 4.035,10","R$ 3.841,51",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_67_detalhes.html
Detalhes da remuneração GCM 66 referente a 3/2020,"R$ 2.927,69","R$ 2.865,13",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_66_detalhes.html
Detalhes da remuneração GCM 65 referente a 3/2020,"R$ 2.927,69","R$ 2.879,35",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_65_detalhes.html
Detalhes da remuneração GCM 64 referente a 3/2020,"R$ 4.035,10","R$ 3.898,39",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_64_detalhes.html
Detalhes da remuneração GCM 63 referente a 3/2020,"R$ 4.035,10","R$ 3.805,99",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_63_detalhes.html
Detalhes da remuneração GCM 62 referente a 3/2020,"R$ 2.927,69","R$ 2.865,13",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_62_detalhes.html
Detalhes da remuneração GCM 61 referente a 3/2020,"R$ 2.927,69","R$ 2.893,57",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_61_detalhes.html
Detalhes da remuneração GCM 60 referente a 3/2020,"R$ 4.035,10","R$ 3.841,51",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_60_detalhes.html
Detalhes da remuneração GCM 59 referente a 3/2020,"R$ 4.035,10","R$ 4.017,35",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_59_detalhes.html
Detalhes da remuneração GCM 58 referente a 3/2020,"R$ 2.927,69","R$ 2.893,57",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_58_detalhes.html
Detalhes da remuneração GCM 57 referente a 3/2020,"R$ 4.035,10","R$ 3.841,51",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_57_detalhes.html
Detalhes da remuneração GCM 56 referente a 3/2020,"R$ 4.035,10","R$ 3.763,33",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_56_detalhes.html
Detalhes da remuneração GCM 55 referente a 3/2020,"R$ 4.035,10","R$ 3.805,99",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_55_detalhes.html
Detalhes da remuneração GCM 54 referente a 3/2020,"R$ 4.035,10","R$ 3.805,99",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_54_detalhes.html
Detalhes da remuneração GCM 53 referente a 3/2020,"R$ 4.035,10","R$ 3.931,00",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_53_detalhes.html
Detalhes da remuneração GCM 52 referente a 3/2020,"R$ 4.035,10","R$ 3.805,99",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_52_detalhes.html
Detalhes da remuneração GCM 50 referente a 3/2020,"R$ 2.927,69","R$ 2.879,35",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_50_detalhes.html
Detalhes da remuneração GCM 51 referente a 3/2020,"R$ 7.149,01","R$ 6.156,67",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_51_detalhes.html
Detalhes da remuneração GCM 48 referente a 3/2020,"R$ 4.035,10","R$ 3.869,95",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_48_detalhes.html
Detalhes da remuneração GCM 49 referente a 3/2020,"R$ 2.927,69","R$ 2.879,35",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_49_detalhes.html
Detalhes da remuneração GCM 47 referente a 3/2020,"R$ 4.035,10","R$ 3.805,99",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_47_detalhes.html
Detalhes da remuneração GCM 45 referente a 3/2020,"R$ 4.035,10","R$ 3.805,99",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_45_detalhes.html
Detalhes da remuneração GCM 44 referente a 3/2020,"R$ 4.035,10","R$ 3.805,99",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_44_detalhes.html
Detalhes da remuneração GCM 43 referente a 3/2020,"R$ 7.149,01","R$ 6.156,67",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_43_detalhes.html
Detalhes da remuneração GCM 42 referente a 3/2020,"R$ 4.035,10","R$ 3.841,51",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_42_detalhes.html
Detalhes da remuneração GCM 41 referente a 3/2020,"R$ 4.035,10","R$ 3.841,51",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_41_detalhes.html
Detalhes da remuneração GCM 40 referente a 3/2020,"R$ 4.035,10","R$ 3.805,99",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_40_detalhes.html
Detalhes da remuneração GCM 46 referente a 3/2020,"R$ 4.035,10","R$ 3.981,34",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_46_detalhes.html
Detalhes da remuneração GCM 39 referente a 3/2020,"R$ 4.035,10","R$ 3.898,39",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_39_detalhes.html
Detalhes da remuneração GCM 38 referente a 3/2020,"R$ 2.927,69","R$ 2.879,35",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_38_detalhes.html
Detalhes da remuneração GCM 37 referente a 3/2020,"R$ 4.035,10","R$ 3.805,99",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_37_detalhes.html
Detalhes da remuneração GCM 36 referente a 3/2020,"R$ 4.035,10","R$ 3.805,99",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_36_detalhes.html
Detalhes da remuneração GCM 35 referente a 3/2020,"R$ 2.927,69","R$ 2.879,35",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_35_detalhes.html
Detalhes da remuneração GCM 34 referente a 3/2020,"R$ 4.035,10","R$ 3.841,51",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_34_detalhes.html
Detalhes da remuneração GCM 33 referente a 3/2020,"R$ 2.927,69","R$ 2.879,35",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_33_detalhes.html
Detalhes da remuneração GCM 28 referente a 3/2020,"R$ 4.035,10","R$ 3.869,95",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_28_detalhes.html
Detalhes da remuneração GCM 30 referente a 3/2020,"R$ 4.035,10","R$ 3.869,95",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_30_detalhes.html
Detalhes da remuneração GCM 31 referente a 3/2020,"R$ 7.149,01","R$ 6.260,94",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_31_detalhes.html
Detalhes da remuneração GCM 32 referente a 3/2020,"R$ 2.927,69","R$ 2.879,35",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_32_detalhes.html
Detalhes da remuneração GCM 25 referente a 3/2020,"R$ 4.035,10","R$ 3.805,99",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_25_detalhes.html
Detalhes da remuneração GCM 26 referente a 3/2020,"R$ 2.927,69","R$ 2.879,35",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_26_detalhes.html
Detalhes da remuneração GCM 27 referente a 3/2020,"R$ 4.035,10","R$ 3.841,51",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_27_detalhes.html
